"indicador","cenario","item","regiao","familia","ano","medida","valor"
"cons","BAU","a_arroz","SC","F6",2035,"Cshift",2.87304730035417
"cons","BAU","a_arroz","SC","F6",2040,"Cshift",2.87304730035417
"cons","BAU","a_arroz","SC","F6",2045,"Cshift",2.87304730035417
"cons","BAU","a_arroz","SC","F6",2050,"Cshift",2.87304730035417
"cons","BAU","a_arroz","SC","F6",2019,"tot_$",2.90206797873567
"cons","BAU","a_arroz","SC","F6",2025,"tot_$",2.90365544934834
"cons","BAU","a_arroz","SC","F6",2030,"tot_$",2.90502709379443
"cons","BAU","a_arroz","SC","F6",2035,"tot_$",2.90631732520245
"cons","BAU","a_arroz","SC","F6",2040,"tot_$",2.90773374616169
"cons","BAU","a_arroz","SC","F6",2045,"tot_$",2.90929963949004
"cons","BAU","a_arroz","SC","F6",2050,"tot_$",2.91097131729557
"cons","BAU","a_arroz","SC","F7",2019,"ch_%",-4.59382087925064e-08
"cons","BAU","a_arroz","SC","F7",2025,"ch_%",0.100349019508372
"cons","BAU","a_arroz","SC","F7",2030,"ch_%",0.185142664662119
"cons","BAU","a_arroz","SC","F7",2035,"ch_%",0.264483186182418
"cons","BAU","a_arroz","SC","F7",2040,"ch_%",0.351082231645372
"cons","BAU","a_arroz","SC","F7",2045,"ch_%",0.446431248235912
"cons","BAU","a_arroz","SC","F7",2050,"ch_%",0.548110627595055
"cons","BAU","a_arroz","SC","F7",2019,"Csuper",0.0459673269535977
"cons","BAU","a_arroz","SC","F7",2025,"Csuper",0.0505801054663708
"cons","BAU","a_arroz","SC","F7",2030,"Csuper",0.0544778428557963
"cons","BAU","a_arroz","SC","F7",2035,"Csuper",0.0581249147167288
"cons","BAU","a_arroz","SC","F7",2040,"Csuper",0.0621056415362613
"cons","BAU","a_arroz","SC","F7",2045,"Csuper",0.0664885811579268
"cons","BAU","a_arroz","SC","F7",2050,"Csuper",0.0711625106480796
"cons","BAU","a_arroz","SC","F7",2019,"Cshift",4.55076557746018
"cons","BAU","a_arroz","SC","F7",2025,"Cshift",4.55076557746018
"cons","BAU","a_arroz","SC","F7",2030,"Cshift",4.55076557746018
"cons","BAU","a_arroz","SC","F7",2035,"Cshift",4.55076557746018
"cons","BAU","a_arroz","SC","F7",2040,"Cshift",4.55076557746018
"cons","BAU","a_arroz","SC","F7",2045,"Cshift",4.55076557746018
"cons","BAU","a_arroz","SC","F7",2050,"Cshift",4.55076557746018
"cons","BAU","a_arroz","SC","F7",2019,"tot_$",4.59673290441378
"cons","BAU","a_arroz","SC","F7",2025,"tot_$",4.60134568292655
"cons","BAU","a_arroz","SC","F7",2030,"tot_$",4.60524342031598
"cons","BAU","a_arroz","SC","F7",2035,"tot_$",4.60889049217691
"cons","BAU","a_arroz","SC","F7",2040,"tot_$",4.61287121899645
"cons","BAU","a_arroz","SC","F7",2045,"tot_$",4.61725415861811
"cons","BAU","a_arroz","SC","F7",2050,"tot_$",4.62192808810826
"cons","BAU","a_arroz","SC","F8",2019,"ch_%",-4.48214021453452e-08
"cons","BAU","a_arroz","SC","F8",2025,"ch_%",0.138635957822308
"cons","BAU","a_arroz","SC","F8",2030,"ch_%",0.254879443384715
"cons","BAU","a_arroz","SC","F8",2035,"ch_%",0.363994635457732
"cons","BAU","a_arroz","SC","F8",2040,"ch_%",0.482998497135934
"cons","BAU","a_arroz","SC","F8",2045,"ch_%",0.613902053910809
"cons","BAU","a_arroz","SC","F8",2050,"ch_%",0.753703773053283
"cons","BAU","a_arroz","SC","F8",2019,"Csuper",0.0240896254759827
"cons","BAU","a_arroz","SC","F8",2025,"Csuper",0.0274293150068464
"cons","BAU","a_arroz","SC","F8",2030,"Csuper",0.0302295771635793
"cons","BAU","a_arroz","SC","F8",2035,"Csuper",0.032858121392173
"cons","BAU","a_arroz","SC","F8",2040,"Csuper",0.0357248799786893
"cons","BAU","a_arroz","SC","F8",2045,"Csuper",0.0388782977762104
"cons","BAU","a_arroz","SC","F8",2050,"Csuper",0.0422460689821995
"cons","BAU","a_arroz","SC","F8",2019,"Cshift",2.38487302901566
"cons","BAU","a_arroz","SC","F8",2025,"Cshift",2.38487302901566
"cons","BAU","a_arroz","SC","F8",2030,"Cshift",2.38487302901566
"cons","BAU","a_arroz","SC","F8",2035,"Cshift",2.38487302901566
"cons","BAU","a_arroz","SC","F8",2040,"Cshift",2.38487302901566
"cons","BAU","a_arroz","SC","F8",2045,"Cshift",2.38487302901566
"cons","BAU","a_arroz","SC","F8",2050,"Cshift",2.38487302901566
"cons","BAU","a_arroz","SC","F8",2019,"tot_$",2.40896265449164
"cons","BAU","a_arroz","SC","F8",2025,"tot_$",2.4123023440225
"cons","BAU","a_arroz","SC","F8",2030,"tot_$",2.41510260617924
"cons","BAU","a_arroz","SC","F8",2035,"tot_$",2.41773115040783
"cons","BAU","a_arroz","SC","F8",2040,"tot_$",2.42059790899435
"cons","BAU","a_arroz","SC","F8",2045,"tot_$",2.42375132679187
"cons","BAU","a_arroz","SC","F8",2050,"tot_$",2.42711909799786
"cons","BAU","a_arroz","SC","F9",2019,"ch_%",-5.36345190482734e-08
"cons","BAU","a_arroz","SC","F9",2025,"ch_%",0.159823364575451
"cons","BAU","a_arroz","SC","F9",2030,"ch_%",0.293592217877836
"cons","BAU","a_arroz","SC","F9",2035,"ch_%",0.419389813990012
"cons","BAU","a_arroz","SC","F9",2040,"ch_%",0.556695722145473
"cons","BAU","a_arroz","SC","F9",2045,"ch_%",0.707755141174049
"cons","BAU","a_arroz","SC","F9",2050,"ch_%",0.869355668965888
"cons","BAU","a_arroz","SC","F9",2019,"Csuper",0.0329355839266004
"cons","BAU","a_arroz","SC","F9",2025,"Csuper",0.0381994618128167
